permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank
14593,7,2022-12-30,129.92999,15842407.0,2058403783.08593,AAPL,APPLE INC,11,3,03783310,1
10107,8048,2022-12-30,239.82001,7447000.0,1785939614.47,MSFT,MICROSOFT CORP,11,3,59491810,2
84788,15473,2022-12-30,84.0,10242000.0,860328000.0,AMZN,AMAZON COM INC,11,3,02313510,3
14542,45483,2022-12-30,88.73,5968000.0,529540640.0,GOOG,ALPHABET INC,11,3,02079K10,4
90319,45483,2022-12-30,88.23,5956000.0,525497880.0,GOOGL,ALPHABET INC,11,3,02079K30,5
92655,7267,2022-12-30,530.17999,934349.0,495373143.47651,UNH,UNITEDHEALTH GROUP INC,11,1,91324P10,6
22111,21018,2022-12-30,176.64999,2614484.0,461848572.45516,JNJ,JOHNSON & JOHNSON,11,1,47816010,7
11850,20678,2022-12-30,110.3,4118293.0,454247717.9,XOM,EXXON MOBIL CORP,11,1,30231G10,8
83443,540,2022-12-30,308.89999,1301981.0,402181917.88019,BRK,BERKSHIRE HATHAWAY INC DEL,11,1,08467070,9
47896,20436,2022-12-30,134.10001,2933205.0,393342819.83204997,JPM,JPMORGAN CHASE & CO,11,1,46625H10,10
93436,53453,2022-12-30,123.18,3164000.0,389741520.0,TSLA,TESLA INC,11,3,88160R10,11
55976,21880,2022-12-30,141.78999,2696800.0,382379245.03199995,WMT,WALMART INC,11,1,93114210,12
50876,21102,2022-12-30,365.84,987124.0,361129444.15999997,LLY,LILLY ELI & CO,11,1,53245710,13
86580,16382,2022-12-30,146.14,2460000.0,359504399.99999994,NVDA,NVIDIA CORP,11,3,67066G10,14
18163,21446,2022-12-30,151.56,2369697.0,359151277.32,PG,PROCTER & GAMBLE CO,11,1,74271810,15
14541,20440,2022-12-30,179.49001,1933639.0,347068883.44639003,CVX,CHEVRON CORP NEW,11,1,16676410,16
92611,52983,2022-12-30,207.75999,1628169.0,338268375.15831,V,VISA INC,11,1,92826C83,17
91233,50700,2022-12-30,347.73001,953803.0,331665926.72802997,MA,MASTERCARD INC,11,1,57636Q10,18
66181,5085,2022-12-30,315.85999,1019186.0,321920079.76813996,HD,HOME DEPOT INC,11,1,43707610,19
21936,21394,2022-12-30,51.24,5613315.0,287626260.6,PFE,PFIZER INC,11,1,71708110,20
13721,54287,2022-12-30,161.61,1768481.0,285804214.41,ABBV,ABBVIE INC,11,1,00287Y10,21
22752,21188,2022-12-30,110.95,2535396.0,281302186.2,MRK,MERCK & CO INC NEW,11,1,58933Y10,22
