gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
007974,01,000003,2000-11-02,,NI,,,,,
007977,01,000003,1964-03-31,,XEL,,,,,
007982,01,000003,1998-01-30,,NTRS,,,,,
007985,01,000003,1985-06-30,,NOC,,,,,
008007,01,000003,1976-06-30,,WFC,,,,,
008030,01,000003,1985-04-30,,NUE,,,,,
008068,01,000003,1982-12-31,,OXY,,,,,
008099,01,000003,1964-03-31,,FE,,,,,
008151,01,000003,2010-03-15,,OKE,,,,,
008245,01,000003,1988-04-30,,PNC,,,,,
008247,01,000003,1964-03-31,,PPG,,,,,
008253,01,000003,1980-12-31,,PCAR,,,,,
008264,01,000003,2022-10-03,,PCG,,,,,
008272,01,000003,1964-03-31,,SRE,,,,,
008358,01,000003,1985-11-30,,PH,,,,,
008402,01,000003,1998-10-01,,PAYX,,,,,
008455,01,000003,1995-11-27,,PPL,,,,,
008463,01,000003,2012-10-01,,PNR,,,,,
008479,01,000003,1964-03-31,,PEP,,,,,
008530,01,000003,1964-03-31,,PFE,,,,,
008539,01,000003,1964-03-31,,EXC,,,,,
008543,01,000003,1964-03-31,,MO,,,,,
008549,01,000003,1964-03-31,,COP,,,,,
008762,01,000003,1964-03-31,,PG,,,,,
008810,01,000003,1964-03-31,,PEG,,,,,
008823,01,000003,1984-04-30,,PHM,,,,,
008898,01,000003,2017-03-20,,RJF,,,,,
009203,01,000003,1964-03-31,,ROK,,,,,
009225,01,000003,2018-10-01,,ROL,,,,,
009248,01,000003,2009-12-21,,ROST,,,,,
009465,01,000003,1965-03-31,,SLB,,,,,
009667,01,000003,1964-06-30,,SHW,,,,,
009771,02,000003,2017-07-26,,AOS,,,,,
009777,01,000003,2008-11-06,,SJM,,,,,
009778,01,000003,1982-09-30,,SNA,,,,,
009783,01,000003,1994-03-01,,KEY,,,,,
009846,01,000003,1964-03-31,,EIX,,,,,
009850,01,000003,1964-03-31,,SO,,,,,
009882,01,000003,1994-07-01,,LUV,,,,,
009899,01,000003,1983-11-30,,T,,,,,
010016,01,000003,1982-09-30,,SWK,,,,,
010035,01,000003,1997-08-18,,STT,,,,,
010096,01,000003,2005-08-19,,PSA,,,,,
010115,01,000003,2000-12-12,,SYK,,,,,
010247,01,000003,1986-12-31,,SYY,,,,,
010453,01,000003,2020-09-21,,TER,,,,,
010499,01,000003,1964-03-31,,TXN,,,,,
010519,01,000003,1978-12-31,,TXT,,,,,
010530,01,000003,1997-01-02,,TMO,,,,,
010614,01,000003,1989-04-30,,GL,,,,,
010789,01,000003,2020-06-22,,TYL,,,,,
010793,01,000003,2005-08-11,,TSN,,,,,
010795,04,000003,2015-09-03,,UAL,,,,,
010860,01,000003,1991-09-19,,AEE,,,,,
010867,01,000003,1964-03-31,,UNP,,,,,
010894,01,000003,2016-03-07,,UDR,,,,,
010903,01,000003,1994-07-01,,UNH,,,,,
010920,01,000003,2002-07-22,,UPS,,,,,
010983,01,000003,1964-03-31,,RTX,,,,,
011032,01,000003,2014-09-22,,UHS,,,,,
011228,01,000003,1999-07-01,,VMC,,,,,
011259,01,000003,1982-08-31,,WMT,,,,,
011376,01,000003,2020-05-22,,WST,,,,,
011399,01,000003,2009-07-01,,WDC,,,,,
011456,01,000003,1964-03-31,,WY,,,,,
011506,01,000003,1975-03-31,,WMB,,,,,
011550,01,000003,2008-10-31,,WEC,,,,,
011554,01,000003,2016-07-01,,LNT,,,,,
011672,01,000003,1985-09-30,,TJX,,,,,
011811,01,000003,2018-11-13,,JKHY,,,,,
011856,01,000003,1997-12-04,,TFC,,,,,
012124,01,000003,1995-09-22,,MS,,,,,
012138,01,000003,1999-10-13,,TROW,,,,,
012141,01,000003,1994-06-01,,MSFT,,,,,
012142,01,000003,1989-08-31,,ORCL,,,,,
012441,01,000003,2017-04-05,,IT,,,,,
012459,01,000003,2019-09-26,,NVR,,,,,
012540,01,000003,1997-05-06,,ADBE,,,,,
012635,01,000003,2001-04-02,,FISV,,,,,
013125,01,000003,2008-03-31,,DOC,,,,,
013341,01,000003,1997-08-04,,PGR,,,,,
013421,01,000003,2017-09-18,,CDNS,,,,,
013498,01,000003,1998-12-22,,CCL,,,,,
013714,03,000003,1994-09-01,,PSKY,,,,,
013721,01,000003,2013-06-24,,ZTS,,,,,
013988,01,000003,1997-06-02,,SCHW,,,,,
014225,01,000003,2008-09-15,,FAST,,,,,
014282,01,000003,2008-09-30,,APH,,,,,
014418,01,000003,2017-07-26,,MGM,,,,,
014477,01,000003,1998-07-17,,WM,,,,,
014590,02,000003,1995-07-31,,FCX,,,,,
014822,01,000003,2019-12-05,,WRB,,,,,
014824,01,000003,1997-12-18,,CINF,,,,,
014934,01,000003,2000-08-30,,DVN,,,,,
014960,01,000003,2004-11-01,,LH,,,,,
015247,01,000003,2004-04-29,,VLO,,,,,
015267,01,000003,2019-08-09,,IEX,,,,,
015414,01,000003,2021-08-30,,TECH,,,,,
015417,01,000003,2021-09-20,,BRO,,,,,
015855,01,000003,2003-03-31,,GEN,,,,,
016101,01,000003,2013-01-02,,ABBV,,,,,
016478,01,000003,2000-11-02,,EOG,,,,,
016721,01,000003,2002-07-22,,EA,,,,,
017874,01,000003,2019-07-15,,TMUS,,,,,
017928,01,000003,2017-08-29,,IQV,,,,,
018043,01,000003,2013-07-01,,NWSA,,,,,
018699,01,000003,2021-04-20,,PTC,,,,,
020232,01,000003,2018-11-06,,KEYS,,,,,
020548,01,000003,2008-06-23,,CTRA,,,,,
020686,01,000003,2015-11-18,,SYF,,,,,
020748,01,000003,2018-08-28,,ANET,,,,,
020779,01,000003,1993-12-01,,CSCO,,,,,
020904,01,000003,2016-03-30,,HOLX,,,,,
021825,01,000003,2016-02-01,,CFG,,,,,
022260,04,000003,2015-01-27,,HCA,,,,,
022815,01,000003,2021-01-21,,TRMB,,,,,
023809,01,000003,1997-01-02,,AZO,,,,,
023812,01,000003,2013-05-01,,REGN,,,,,
024197,01,000003,2017-01-05,,IDXX,,,,,
024216,01,000003,1998-10-02,,AES,,,,,
024316,01,000003,2012-06-29,,MNST,,,,,
024344,01,000003,2013-09-23,,VRTX,,,,,
024405,01,000003,2019-12-23,,ZBRA,,,,,
024468,01,000003,2003-11-13,,BIIB,,,,,
024616,01,000003,2015-07-20,,PYPL,,,,,
024617,01,000003,2019-12-09,,ODFL,,,,,
024731,01,000003,2006-04-03,,KIM,,,,,
024800,01,000003,1999-07-22,,QCOM,,,,,
024856,01,000003,2004-07-01,,GILD,,,,,
024925,01,000003,2009-12-23,,ROP,,,,,
024975,01,000003,2017-03-16,,SNPS,,,,,
025124,01,000003,1992-07-01,,LIN,,,,,
025279,01,000003,1995-02-24,,BSX,,,,,
025313,01,000003,2019-12-23,,STE,,,,,
025340,01,000003,2005-07-05,,DHI,,,,,
025434,01,000003,2000-06-08,,SBUX,,,,,
026156,01,000003,2015-11-02,,HPE,,,,,
026590,01,000003,2016-07-05,,FTV,,,,,
027914,01,000003,1995-12-01,,HUM,,,,,
027928,01,000003,2000-12-11,,INTU,,,,,
027965,01,000003,2007-09-07,,MCHP,,,,,
028034,01,000003,2010-07-15,,CB,,,,,
028180,01,000003,2009-03-27,,ORLY,,,,,
028191,01,000003,2014-12-05,,RCL,,,,,
028320,02,000003,2019-09-23,,CDW,,,,,
028349,01,000003,1995-07-13,,ALL,,,,,
028629,01,000003,2022-04-04,,CPT,,,,,
028733,01,000003,2001-12-03,,EQR,,,,,
028877,02,000003,2022-06-21,,KDP,,,,,
028930,02,000003,1998-05-21,,MAR,,,,,
029028,01,000003,1993-10-01,,COST,,,,,
029099,01,000003,2017-03-02,,REG,,,,,
029127,01,000003,2017-02-28,,INCY,,,,,
029389,01,000003,2002-06-26,,SPG,,,,,
029649,01,000003,2016-12-02,,MAA,,,,,
029733,01,000003,2014-07-02,,MLM,,,,,
029736,01,000003,2014-01-24,,TSCO,,,,,
029751,01,000003,2016-07-01,,ALB,,,,,
029804,02,000003,2008-08-21,,IVZ,,,,,
029875,01,000003,2007-01-10,,AVB,,,,,
029901,01,000003,2018-07-02,,CPRT,,,,,
029984,01,000003,2003-07-17,,PLD,,,,,
030004,01,000003,2022-09-19,,INVH,,,,,
030098,02,000003,2020-03-03,,IR,,,,,
030293,01,000003,2014-04-02,,ESS,,,,,
030822,01,000003,2015-04-07,,O,,,,,
030990,01,000003,1998-07-01,,COF,,,,,
031587,01,000003,2011-12-19,,DLTR,,,,,
031673,01,000003,2001-08-30,,COR,,,,,
031846,01,000003,1995-05-30,,DRI,,,,,
031887,01,000003,2017-07-26,,RMD,,,,,
032106,01,000003,2017-07-07,,BKR,,,,,
032580,01,000003,2022-06-08,,VICI,,,,,
034410,01,000003,2021-07-21,,MRNA,,,,,
034443,01,000003,2019-04-02,,DOW,,,,,
034636,01,000003,2019-03-19,,FOXA,,,,,
035168,01,000003,2019-06-03,,CTVA,,,,,
036190,01,000003,2020-04-03,,OTIS,,,,,
036191,01,000003,2020-04-03,,CARR,,,,,
040614,01,000003,2022-02-02,,CEG,,,,,
060979,01,000003,2019-02-27,,WAB,,,,,
061302,01,000003,2022-11-01,,ACGL,,,,,
061388,01,000003,2017-06-19,,EG,,,,,
061420,01,000003,2020-10-07,,POOL,,,,,
061483,01,000003,2008-07-31,,DVA,,,,,
061494,01,000003,2015-03-18,,HSIC,,,,,
061567,01,000003,2006-01-05,,EL,,,,,
061574,01,000003,2002-01-02,,WAT,,,,,
061591,01,000003,1999-06-25,,NTAP,,,,,
061739,01,000003,1995-12-20,,HIG,,,,,
062374,01,000003,2009-01-06,,IRM,,,,,
062689,05,000003,2002-08-21,,TRV,,,,,
