file_name,file_path,filing_date,form_type,cik,accession_number
20101110_10-K_edgar_data_1385157_0001047469-10-009566.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_1385157_0001047469-10-009566.txt,20101110,10-K,1385157,0001047469-10-009566
20101110_10-K_edgar_data_1443089_0001144204-10-058970.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_1443089_0001144204-10-058970.txt,20101110,10-K,1443089,0001144204-10-058970
20101110_10-K_edgar_data_1469741_0001049107-10-000049.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_1469741_0001049107-10-000049.txt,20101110,10-K,1469741,0001049107-10-000049
20101110_10-K_edgar_data_1470336_0001049107-10-000050.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_1470336_0001049107-10-000050.txt,20101110,10-K,1470336,0001049107-10-000050
20101110_10-K_edgar_data_65224_0001140361-10-044710.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_65224_0001140361-10-044710.txt,20101110,10-K,65224,0001140361-10-044710
20101110_10-K_edgar_data_836157_0000950123-10-103822.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_836157_0000950123-10-103822.txt,20101110,10-K,836157,0000950123-10-103822
20101110_10-K_edgar_data_90310_0001052918-10-000376.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_90310_0001052918-10-000376.txt,20101110,10-K,90310,0001052918-10-000376
20101110_10-K_edgar_data_923120_0000950123-10-103894.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101110_10-K_edgar_data_923120_0000950123-10-103894.txt,20101110,10-K,923120,0000950123-10-103894
20101112_10-K-A_edgar_data_1309304_0001144204-10-059591.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1309304_0001144204-10-059591.txt,20101112,10-K-A,1309304,0001144204-10-059591
20101112_10-K-A_edgar_data_1371534_0001371534-10-000021.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K-A_edgar_data_1371534_0001371534-10-000021.txt,20101112,10-K-A,1371534,0001371534-10-000021
